period	endpoint	segment	n	date
2026-06-17T14:59:33Z	enhet	ANS|avvikling	1	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	ANS|ordinary	1	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	ASA|ordinary	1	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	AS|avvikling	18	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	AS|konkurs	11	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	AS|ordinary	187	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	AS|tvangsavvikling	12	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	BRL|ordinary	5	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	DA|avvikling	7	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	DA|ordinary	2	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	ENK|konkurs	1	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	ENK|ordinary	151	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	ESEK|ordinary	4	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	FLI|ordinary	22	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	KBO|ordinary	7	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	NUF|ordinary	13	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	STI|ordinary	1	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	enhet	UTLA|ordinary	4	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	underenhet	AAFY|ordinary	77	2026-06-17T14:59:33Z
2026-06-17T14:59:33Z	underenhet	BEDR|ordinary	323	2026-06-17T14:59:33Z
